Category,Sample_Count,Word_Count_Min,Word_Count_Max,Word_Count_Avg,Char_Length_Min,Char_Length_Max,Char_Length_Avg,Top_10_Words
Mapping,359,4,355,78.52089136490251,18,1982,451.21448467966576,"api(599), data(329), maps(254), map(236), service(200), location(181), developers(179), allows(176), applications(165), provides(157)"
Social,432,18,413,78.29629629629629,85,2131,447.5208333333333,"api(757), social(453), users(402), data(282), allows(261), developers(235), access(213), applications(197), user(170), service(154)"
Video,249,20,264,72.87951807228916,124,1463,417.87550200803213,"video(487), api(470), videos(193), allows(158), users(154), developers(140), applications(118), platform(108), content(107), service(102)"
Photos,184,10,176,71.7445652173913,60,1041,405.7119565217391,"api(339), photos(155), users(134), photo(117), images(116), allows(111), developers(108), image(107), service(92), access(73)"
eCommerce,462,13,229,75.88528138528139,68,1284,442.74675324675326,"api(846), developers(269), allows(257), users(239), data(205), access(203), information(195), applications(193), product(192), products(190)"
Telephony,297,17,199,74.56565656565657,84,1154,432.7239057239057,"api(460), phone(184), applications(165), calls(162), allows(162), service(161), users(156), mobile(148), voice(147), services(147)"
Music,191,5,238,72.85340314136126,21,1445,409.08376963350787,"music(319), api(311), users(118), allows(110), access(104), developers(91), data(78), service(74), information(69), applications(69)"
Search,251,7,275,79.22310756972112,34,1566,458.0876494023904,"api(450), search(410), service(136), data(135), users(133), developers(118), access(115), allows(113), provides(104), results(93)"
Messaging,509,16,207,73.13163064833006,88,1208,417.0196463654224,"sms(1032), api(839), messages(489), users(415), send(367), messaging(356), service(293), allows(284), applications(263), developers(230)"
Bookmarks,28,8,113,72.14285714285714,50,591,396.32142857142856,"api(51), users(28), bookmarks(22), allows(21), web(16), access(14), applications(14), user(14), bookmarking(13), developers(13)"
Tools,758,19,257,73.60686015831135,109,1350,422.41820580474933,"api(1294), users(542), allows(438), service(427), data(407), developers(378), applications(345), provides(295), web(253), access(249)"
Widgets,24,0,142,61.875,0,808,343.625,"api(24), users(13), widgets(11), widget(11), allows(11), javascript(10), provides(9), content(9), user(9), site(9)"
Electronic Signature,12,32,115,63.75,192,668,390.8333333333333,"api(19), signature(13), applications(11), documents(11), electronic(8), docusign(7), service(7), allows(7), digital(7), signatures(6)"
Storage,99,25,157,76.56565656565657,126,901,442.8484848484849,"api(169), storage(121), users(81), data(80), cloud(77), service(74), files(73), access(65), allows(62), file(53)"
Advertising,224,30,197,78.34375,173,1089,465.35714285714283,"api(428), advertising(169), developers(161), allows(153), users(142), access(138), service(115), applications(114), platform(110), marketing(101)"
Reference,250,20,244,80.452,89,1391,464.988,"api(378), data(210), information(143), service(126), access(125), provides(120), xml(96), users(93), web(83), search(80)"
Content,41,37,133,74.17073170731707,229,801,430.0487804878049,"content(84), api(81), web(17), provides(16), search(16), users(15), json(15), developers(14), format(14), allows(13)"
Cloud,173,30,168,73.48554913294798,168,921,427.39884393063585,"cloud(336), api(331), developers(132), data(127), service(107), applications(103), users(95), allows(85), provides(71), access(71)"
Library,31,26,156,73.87096774193549,167,859,418.7096774193548,"api(63), library(48), developers(25), open(23), access(23), data(20), ebooks(19), libraries(18), applications(17), available(17)"
Recommendations,66,17,149,65.89393939393939,91,939,388.8484848484849,"api(106), developers(34), recommendations(33), users(32), applications(30), allows(26), reviews(25), recommendation(25), data(24), service(22)"
Analytics,115,31,150,68.24347826086957,191,840,397.3565217391304,"api(210), data(118), analytics(98), developers(64), provides(53), access(51), allows(48), json(47), service(42), users(42)"
Jobs,67,12,200,74.23880597014926,67,1145,426.2985074626866,"api(121), job(107), jobs(68), search(49), users(41), allows(40), developers(36), access(35), service(29), information(24)"
Events,108,18,179,76.52777777777777,90,982,438.06481481481484,"api(202), events(178), event(112), developers(64), users(64), information(64), data(57), allows(55), access(45), applications(36)"
