Category,Sample_Count,Word_Count_Min,Word_Count_Max,Word_Count_Avg,Char_Length_Min,Char_Length_Max,Char_Length_Avg,Top_10_Words
Mapping,359,4,355,78.52089136490251,18,1982,451.21448467966576,"api(599), data(329), maps(254), map(236), service(200), location(181), developers(179), allows(176), applications(165), provides(157)"
Social,432,18,413,78.29629629629629,85,2131,447.5208333333333,"api(757), social(453), users(402), data(282), allows(261), developers(235), access(213), applications(197), user(170), service(154)"
Video,249,20,264,72.87951807228916,124,1463,417.87550200803213,"video(487), api(470), videos(193), allows(158), users(154), developers(140), applications(118), platform(108), content(107), service(102)"
Photos,184,10,176,71.7445652173913,60,1041,405.7119565217391,"api(339), photos(155), users(134), photo(117), images(116), allows(111), developers(108), image(107), service(92), access(73)"
eCommerce,462,13,229,75.88528138528139,68,1284,442.74675324675326,"api(846), developers(269), allows(257), users(239), data(205), access(203), information(195), applications(193), product(192), products(190)"
Telephony,297,17,199,74.56565656565657,84,1154,432.7239057239057,"api(460), phone(184), applications(165), calls(162), allows(162), service(161), users(156), mobile(148), voice(147), services(147)"
Music,191,5,238,72.85340314136126,21,1445,409.08376963350787,"music(319), api(311), users(118), allows(110), access(104), developers(91), data(78), service(74), information(69), applications(69)"
Search,251,7,275,79.22310756972112,34,1566,458.0876494023904,"api(450), search(410), service(136), data(135), users(133), developers(118), access(115), allows(113), provides(104), results(93)"
Messaging,509,16,207,73.13163064833006,88,1208,417.0196463654224,"sms(1032), api(839), messages(489), users(415), send(367), messaging(356), service(293), allows(284), applications(263), developers(230)"
Tools,758,19,257,73.60686015831135,109,1350,422.41820580474933,"api(1294), users(542), allows(438), service(427), data(407), developers(378), applications(345), provides(295), web(253), access(249)"
Advertising,224,30,197,78.34375,173,1089,465.35714285714283,"api(428), advertising(169), developers(161), allows(153), users(142), access(138), service(115), applications(114), platform(110), marketing(101)"
Reference,250,20,244,80.452,89,1391,464.988,"api(378), data(210), information(143), service(126), access(125), provides(120), xml(96), users(93), web(83), search(80)"
Cloud,173,30,168,73.48554913294798,168,921,427.39884393063585,"cloud(336), api(331), developers(132), data(127), service(107), applications(103), users(95), allows(85), provides(71), access(71)"
Payments,457,25,216,76.38730853391685,150,1263,458.1859956236324,"api(762), payment(674), payments(439), allows(298), service(256), online(238), developers(227), applications(214), services(183), card(181)"
Enterprise,410,25,218,78.25853658536586,116,1285,472.1951219512195,"api(663), data(281), allows(249), service(232), users(226), applications(219), access(219), developers(211), information(192), provides(186)"
Other,157,6,205,74.03184713375796,33,1013,424.88535031847135,"api(241), data(111), users(108), access(91), allows(90), developers(81), applications(78), web(65), service(63), information(62)"
Database,135,29,315,77.77037037037037,148,1891,444.837037037037,"api(238), data(201), database(117), users(80), allows(71), access(66), developers(65), service(64), applications(62), information(61)"
Travel,240,6,271,80.02916666666667,30,1570,466.09583333333336,"api(417), travel(268), information(162), data(116), booking(114), users(113), access(109), search(104), allows(102), provides(101)"
Government,302,16,222,84.38741721854305,83,1118,490.50993377483445,"data(497), api(487), information(253), government(173), access(165), provides(159), service(141), available(119), open(119), json(106)"
Transportation,217,32,319,73.96774193548387,165,1747,430.9815668202765,"api(367), data(197), information(162), provides(139), service(118), applications(109), developers(91), access(91), allows(80), transit(79)"
Email,252,20,209,75.86111111111111,136,1129,445.74603174603175,"email(545), api(459), users(148), allows(138), service(136), emails(128), marketing(125), developers(109), provides(99), applications(90)"
Education,213,34,225,78.95774647887323,197,1278,465.76525821596243,"api(362), information(139), data(133), access(111), provides(102), users(88), allows(87), online(85), developers(85), learning(83)"
Project Management,140,22,138,73.1,120,785,430.1142857142857,"api(231), management(149), project(137), users(95), allows(90), projects(82), access(72), service(70), applications(68), data(65)"
Security,248,19,192,77.58064516129032,98,1123,458.1733870967742,"api(414), service(165), users(161), allows(133), developers(132), security(123), access(123), applications(115), data(110), web(106)"
Financial,682,16,252,77.42375366568915,92,1459,451.94281524926686,"api(1183), data(583), users(418), allows(388), provides(366), service(344), access(281), information(269), account(230), financial(228)"
Games,200,28,158,71.12,153,886,394.17,"api(353), game(220), games(135), developers(111), users(107), allows(99), data(93), information(86), provides(71), access(69)"
Sports,228,14,214,77.75877192982456,89,1060,440.06140350877195,"api(429), data(255), sports(169), provides(135), sportradar(127), developers(114), applications(113), live(107), league(106), information(98)"
Science,297,35,257,81.13131313131314,183,1482,485.2996632996633,"data(326), api(326), provides(156), information(156), service(142), access(129), database(125), methods(121), available(114), users(105)"
Bitcoin,141,34,168,74.15602836879432,207,879,431.78723404255317,"api(344), bitcoin(184), developers(103), allows(86), access(75), data(71), exchange(69), information(69), users(69), payment(58)"
Data,140,23,267,72.75714285714285,141,1529,425.34285714285716,"api(285), data(257), allows(79), developers(78), information(53), access(48), provides(44), applications(44), platform(37), json(32)"
