Service Classification,samples,avg_text_length,min_text_length,max_text_length,median_text_length,avg_word_count,min_word_count,max_word_count,median_word_count,Top_10_Words
Advertising,275,356.44,132,770,345.0,46.07,17,105,45.0,"api(532), service(295), developer(258), user(252), advertising(235), access(227), allows(215), application(195), platform(190), campaign(180)"
Analytics,225,305.24,125,648,310.0,40.52,18,80,40.0,"api(448), user(334), service(282), data(273), analytics(229), developer(200), provides(183), analysis(176), application(174), access(173)"
Application Development,225,327.36,74,1053,320.0,42.75,9,145,41.0,"api(383), application(370), user(295), developer(226), allows(201), access(172), service(172), platform(171), mendix(154), development(149)"
Backend,208,241.52,54,615,202.0,29.38,7,77,23.0,"api(260), application(167), provides(147), service(133), data(99), offer(90), developer(87), user(85), implement(85), handle(81)"
Banking,225,383.21,94,1265,373.0,50.46,14,161,50.0,"api(566), account(423), bank(256), banking(242), access(231), service(227), allows(221), user(213), developer(206), json(198)"
Bitcoin,250,344.9,150,638,351.5,45.37,20,91,46.0,"api(604), bitcoin(381), order(300), trade(272), developer(260), user(210), data(207), allows(207), exchange(199), information(191)"
Chat,200,325.29,78,801,326.0,42.94,9,104,43.0,"api(350), user(312), chat(312), service(185), developer(171), application(168), live(157), customer(151), allows(144), time(143)"
Cloud,250,322.56,129,650,315.0,43.67,18,91,42.0,"cloud(522), api(467), service(364), developer(261), data(229), application(219), user(204), based(167), platform(160), amazon(156)"
Data,250,326.33,93,1106,318.5,43.6,13,145,43.0,"api(516), data(485), user(273), service(256), developer(219), allows(214), application(208), platform(176), provides(175), access(170)"
Database,250,332.68,93,1355,319.0,45.43,13,172,44.0,"api(466), data(431), database(352), user(249), allows(236), service(231), access(221), application(212), developer(205), provides(203)"
Domains,200,315.65,103,634,314.5,42.84,12,84,42.5,"domain(647), service(378), api(372), name(361), user(188), developer(180), protocol(178), allows(175), connect(168), provides(167)"
Education,250,351.41,133,943,343.5,45.17,19,126,43.0,"api(448), student(198), information(198), data(192), user(178), service(165), access(163), course(155), provides(143), online(141)"
Email,275,331.59,102,798,325.0,43.94,13,113,43.0,"email(763), api(512), service(257), user(223), allows(174), address(153), application(152), marketing(145), campaign(138), developer(138)"
Enterprise,300,350.8,68,1011,322.0,44.82,11,130,42.0,"api(489), service(315), user(229), data(224), application(205), allows(177), developer(166), access(163), customer(160), management(149)"
Entertainment,200,306.32,50,487,305.5,41.55,7,70,42.0,"api(365), movie(256), user(200), service(197), allows(183), developer(178), information(164), video(155), data(142), access(138)"
Events,225,329.32,67,670,331.0,44.29,10,92,45.0,"event(698), api(434), ticket(297), developer(215), user(215), information(211), service(203), data(198), allows(186), access(170)"
File Sharing,200,299.17,38,1602,282.5,40.28,6,206,38.0,"file(563), api(354), service(301), user(229), allows(224), access(209), sharing(195), developer(192), application(170), egnyte(163)"
Financial,300,338.61,65,1006,317.0,45.12,10,136,43.0,"api(533), data(277), user(232), service(224), allows(175), provides(174), account(140), currency(133), access(127), exchange(124)"
Games,250,289.01,103,652,289.0,40.0,15,88,40.0,"game(504), api(445), user(211), developer(197), player(192), allows(157), data(155), information(147), application(143), service(129)"
Government,300,363.64,69,855,336.0,47.62,9,103,44.0,"data(514), api(491), information(254), service(213), government(184), access(165), provides(158), open(134), state(124), available(121)"
Images,200,317.14,104,733,309.0,43.0,16,95,43.0,"image(551), api(448), allows(207), user(204), developer(197), service(197), application(182), rest(182), content(176), integrate(176)"
Internet of Things,225,325.53,174,795,323.0,43.52,21,105,43.0,"api(429), device(415), service(262), data(236), developer(235), internet(210), application(205), user(185), thing(181), platform(176)"
Mapping,300,334.33,17,1326,297.0,44.86,3,177,40.0,"api(506), map(413), service(288), data(272), location(239), application(178), developer(168), user(167), allows(149), provides(137)"
Media,200,353.02,137,680,355.5,46.57,17,88,47.0,"api(385), medium(307), content(242), allows(228), user(227), video(227), application(216), service(211), access(200), developer(198)"
Medical,225,388.56,27,675,388.0,49.77,4,85,50.0,"api(393), service(389), health(323), data(309), information(266), user(253), provides(231), access(227), medical(224), developer(213)"
Messaging,300,311.93,68,886,285.5,42.65,10,112,39.0,"api(496), message(400), service(296), user(295), messaging(220), application(214), send(213), allows(172), developer(142), provides(132)"
Music,250,297.04,11,1130,289.0,40.6,2,146,40.0,"music(438), api(404), user(214), service(190), access(174), allows(168), developer(165), application(152), artist(147), data(146)"
News Services,200,160.14,125,239,157.0,18.58,13,33,18.0,"news(318), api(138), content(75), provides(71), journalism(65), manages(52), medium(49), organization(39), coverage(38), editorial(35)"
Office,200,313.11,78,849,310.0,41.86,12,114,40.5,"api(369), document(281), user(254), application(219), service(219), allows(215), data(203), developer(167), create(156), web(155)"
Other,216,162.83,128,217,164.5,17.42,16,23,17.0,"api(214), provides(207), handle(195), application(151), functionality(143), offer(137), solution(135), requirement(129), delivers(127), service(87)"
Payments,300,343.2,118,914,322.5,44.22,17,117,41.0,"payment(720), api(497), service(289), allows(196), transaction(186), application(180), account(160), card(157), developer(156), online(148)"
Photos,250,292.91,37,743,295.5,40.01,5,95,40.0,"api(462), photo(444), image(390), service(259), user(242), application(200), developer(199), allows(187), access(139), site(127)"
Project Management,250,337.94,84,582,343.5,43.84,12,75,44.0,"project(501), api(436), management(296), user(275), allows(237), task(237), application(215), service(214), time(179), access(176)"
Real Estate,200,321.45,59,749,319.5,42.92,9,103,42.0,"property(358), api(343), service(284), listing(256), estate(256), real(227), data(194), user(169), website(163), provides(142)"
Reference,275,343.91,60,977,328.0,45.59,11,130,44.0,"api(432), data(252), service(247), information(166), provides(149), access(149), user(138), xml(127), web(119), developer(116)"
Science,297,364.49,132,1081,333.0,46.21,18,139,42.0,"data(332), api(326), service(184), database(172), provides(156), information(156), sequence(150), protein(131), access(130), method(130)"
Search,275,337.17,29,1103,311.0,45.16,5,148,42.0,"api(504), search(489), service(252), user(214), data(168), access(150), allows(150), developer(147), application(135), result(133)"
Security,213,240.28,76,805,187.0,28.82,11,99,20.0,"api(282), security(241), provides(148), implement(109), offer(99), user(84), service(82), application(74), access(61), data(61)"
Shipping,225,214.62,132,688,187.0,24.36,14,83,20.0,"shipping(317), api(202), provides(195), delivery(159), handle(147), offer(130), manages(101), logistics(98), service(93), optimization(76)"
Social,300,174.47,142,206,174.0,18.63,18,23,18.5,"social(318), api(300), community(299), networking(290), engagement(149), feature(137), participation(133), involvement(131), provides(101), manages(99)"
Sports,275,335.54,78,763,331.0,46.07,11,112,44.0,"api(525), data(323), sport(266), league(207), provides(197), application(194), developer(186), sportradar(182), team(173), live(160)"
Stocks,225,427.75,149,670,426.0,60.92,22,94,60.0,"price(740), data(706), exchange(639), api(455), stock(435), intrinio(382), available(364), day(345), close(312), trading(293)"
Storage,200,331.12,83,680,326.0,45.5,12,86,46.0,"file(391), user(382), service(374), api(363), application(312), storage(298), cloud(262), data(238), access(218), allows(182)"
Telephony,297,321.12,60,917,305.0,43.07,9,114,41.0,"api(462), call(321), service(312), application(219), phone(216), user(192), number(164), developer(162), allows(162), voice(158)"
Tools,300,303.61,80,983,288.5,40.79,11,136,38.0,"api(506), service(263), user(250), application(194), allows(191), developer(184), data(166), web(115), provides(112), text(94)"
Transportation,275,329.13,119,1269,306.0,43.31,19,172,40.0,"api(467), data(297), service(278), information(238), provides(214), time(193), developer(186), application(183), access(167), transit(160)"
Travel,275,341.66,24,1081,326.0,45.47,4,152,44.0,"api(503), travel(348), service(239), information(217), hotel(210), user(181), booking(174), data(161), developer(160), access(158)"
Video,275,306.34,76,1043,302.0,41.05,11,145,40.0,"video(782), api(515), user(249), application(192), allows(190), developer(177), service(165), platform(148), content(141), access(134)"
Weather,197,184.19,155,224,184.0,19.26,16,24,19.0,"weather(341), api(188), meteorological(137), monitoring(131), atmospheric(116), intelligence(116), service(105), provides(93), offer(84), selected(78)"
eCommerce,300,318.47,58,869,292.5,42.14,9,112,39.0,"api(540), product(261), service(179), developer(177), user(171), allows(171), application(149), data(130), access(126), information(126)"
