category_name,precision,recall,f1-score,support,accuracy
Advertising,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,0.8518518518518519
Analytics,0.5,0.7272727272727273,0.5925925925925926,22.0,0.7272727272727273
Application Development,0.4482758620689655,0.5909090909090909,0.5098039215686274,22.0,0.5909090909090909
Backend,0.7692307692307693,0.47619047619047616,0.588235294117647,21.0,0.47619047619047616
Banking,0.7,0.9545454545454546,0.8076923076923077,22.0,0.9545454545454546
Bitcoin,0.8571428571428571,0.96,0.9056603773584904,25.0,0.96
Chat,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Cloud,0.6538461538461539,0.68,0.6666666666666666,25.0,0.68
Data,0.8,0.32,0.45714285714285713,25.0,0.32
Database,0.85,0.68,0.7555555555555556,25.0,0.68
Domains,1.0,0.9,0.9473684210526316,20.0,0.9
Education,0.7407407407407407,0.8,0.7692307692307692,25.0,0.8
Email,0.7647058823529411,0.9285714285714286,0.8387096774193549,28.0,0.9285714285714286
Enterprise,0.43478260869565216,0.3333333333333333,0.3773584905660377,30.0,0.3333333333333333
Entertainment,0.7391304347826086,0.85,0.7906976744186046,20.0,0.85
Events,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0,0.8181818181818182
File Sharing,0.782608695652174,0.9,0.8372093023255814,20.0,0.9
Financial,0.6842105263157895,0.43333333333333335,0.5306122448979592,30.0,0.43333333333333335
Games,0.92,0.92,0.92,25.0,0.92
Government,0.65,0.8666666666666667,0.7428571428571429,30.0,0.8666666666666667
Images,0.6086956521739131,0.7,0.6511627906976744,20.0,0.7
Internet of Things,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0,0.6818181818181818
Mapping,0.6944444444444444,0.8333333333333334,0.7575757575757577,30.0,0.8333333333333334
Media,0.7692307692307693,0.5,0.6060606060606061,20.0,0.5
Medical,0.75,0.9545454545454546,0.84,22.0,0.9545454545454546
Messaging,0.84375,0.9,0.870967741935484,30.0,0.9
Music,0.84,0.84,0.8399999999999999,25.0,0.84
News Services,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Office,0.631578947368421,0.6,0.6153846153846154,20.0,0.6
Other,0.9166666666666666,1.0,0.9565217391304348,22.0,1.0
Payments,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0,0.8666666666666667
Photos,0.6551724137931034,0.76,0.7037037037037037,25.0,0.76
Project Management,0.71875,0.92,0.8070175438596492,25.0,0.92
Real Estate,1.0,0.9,0.9473684210526316,20.0,0.9
Reference,0.3157894736842105,0.21428571428571427,0.2553191489361702,28.0,0.21428571428571427
Science,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667
Search,0.6296296296296297,0.6071428571428571,0.6181818181818182,28.0,0.6071428571428571
Security,0.85,0.8095238095238095,0.8292682926829269,21.0,0.8095238095238095
Shipping,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0
Social,1.0,1.0,1.0,30.0,1.0
Sports,0.84375,0.9642857142857143,0.8999999999999999,28.0,0.9642857142857143
Stocks,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0,0.8181818181818182
Storage,0.7142857142857143,0.75,0.7317073170731706,20.0,0.75
Telephony,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0,0.7666666666666667
Tools,0.7142857142857143,0.3333333333333333,0.4545454545454545,30.0,0.3333333333333333
Transportation,1.0,0.6785714285714286,0.8085106382978724,28.0,0.6785714285714286
Travel,0.7105263157894737,0.9642857142857143,0.8181818181818182,28.0,0.9642857142857143
Video,0.7857142857142857,0.7857142857142857,0.7857142857142857,28.0,0.7857142857142857
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333
accuracy,0.7689822294022617,0.7689822294022617,0.7689822294022617,0.7689822294022617,
macro avg,0.7774888277550569,0.7747842231842234,0.7661354813452417,1238.0,
weighted avg,0.7727607412083907,0.7689822294022617,0.7605465910363166,1238.0,
