category_name,precision,recall,f1-score,support,accuracy
Advertising,0.8461538461538461,0.8148148148148148,0.830188679245283,27.0,0.8148148148148148
Analytics,0.6666666666666666,0.8181818181818182,0.7346938775510203,22.0,0.8181818181818182
Application Development,0.7647058823529411,0.5909090909090909,0.6666666666666667,22.0,0.5909090909090909
Backend,0.7619047619047619,0.7619047619047619,0.7619047619047619,21.0,0.7619047619047619
Banking,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546
Bitcoin,0.8275862068965517,0.96,0.888888888888889,25.0,0.96
Chat,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Cloud,0.6923076923076923,0.72,0.7058823529411765,25.0,0.72
Data,0.5454545454545454,0.48,0.5106382978723404,25.0,0.48
Database,0.9,0.72,0.7999999999999999,25.0,0.72
Domains,0.95,0.95,0.9500000000000001,20.0,0.95
Education,0.8636363636363636,0.76,0.8085106382978724,25.0,0.76
Email,0.896551724137931,0.9285714285714286,0.912280701754386,28.0,0.9285714285714286
Enterprise,0.5769230769230769,0.5,0.5357142857142857,30.0,0.5
Entertainment,0.7272727272727273,0.8,0.761904761904762,20.0,0.8
Events,0.9,0.8181818181818182,0.8571428571428572,22.0,0.8181818181818182
File Sharing,0.7037037037037037,0.95,0.8085106382978724,20.0,0.95
Financial,0.84,0.7,0.7636363636363636,30.0,0.7
Games,0.9565217391304348,0.88,0.9166666666666666,25.0,0.88
Government,0.7027027027027027,0.8666666666666667,0.7761194029850748,30.0,0.8666666666666667
Images,0.6,0.75,0.6666666666666665,20.0,0.75
Internet of Things,0.7083333333333334,0.7727272727272727,0.7391304347826088,22.0,0.7727272727272727
Mapping,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667
Media,0.9411764705882353,0.8,0.8648648648648648,20.0,0.8
Medical,0.7777777777777778,0.9545454545454546,0.8571428571428572,22.0,0.9545454545454546
Messaging,0.8125,0.8666666666666667,0.8387096774193549,30.0,0.8666666666666667
Music,0.9565217391304348,0.88,0.9166666666666666,25.0,0.88
News Services,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Office,0.6363636363636364,0.7,0.6666666666666666,20.0,0.7
Other,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0
Payments,0.84375,0.9,0.870967741935484,30.0,0.9
Photos,0.7307692307692307,0.76,0.7450980392156863,25.0,0.76
Project Management,0.8,0.96,0.8727272727272728,25.0,0.96
Real Estate,1.0,0.9,0.9473684210526316,20.0,0.9
Reference,0.4230769230769231,0.39285714285714285,0.4074074074074074,28.0,0.39285714285714285
Science,0.7941176470588235,0.9,0.84375,30.0,0.9
Search,0.7916666666666666,0.6785714285714286,0.7307692307692307,28.0,0.6785714285714286
Security,0.8636363636363636,0.9047619047619048,0.8837209302325582,21.0,0.9047619047619048
Shipping,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0
Social,1.0,1.0,1.0,30.0,1.0
Sports,0.9310344827586207,0.9642857142857143,0.9473684210526316,28.0,0.9642857142857143
Stocks,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091
Storage,0.7894736842105263,0.75,0.7692307692307692,20.0,0.75
Telephony,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,0.7666666666666667
Tools,0.5263157894736842,0.3333333333333333,0.4081632653061224,30.0,0.3333333333333333
Transportation,0.9523809523809523,0.7142857142857143,0.8163265306122449,28.0,0.7142857142857143
Travel,0.8333333333333334,0.8928571428571429,0.8620689655172413,28.0,0.8928571428571429
Video,0.84,0.75,0.7924528301886793,28.0,0.75
Weather,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
eCommerce,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333
accuracy,0.808562197092084,0.808562197092084,0.808562197092084,0.808562197092084,
macro avg,0.8128747139416592,0.815488504088504,0.8105300499821521,1238.0,
weighted avg,0.8093126558754644,0.808562197092084,0.8052357419738003,1238.0,
