Fidelity,Jaccard,Stability,model,sample_id
0.843,0.569,0.597,roberta-base,2
0.855,0.559,0.588,roberta-base,3
0.847,0.543,0.56,roberta-base,4
0.804,0.537,0.561,roberta-base,6
0.833,0.556,0.573,roberta-base,10
0.844,0.557,0.572,roberta-base,13
0.827,0.566,0.588,roberta-base,14
0.837,0.533,0.546,roberta-base,15
0.819,0.54,0.554,roberta-base,21
0.852,0.574,0.603,roberta-base,51
0.847,0.568,0.582,roberta-base,52
0.849,0.536,0.557,roberta-base,59
0.854,0.58,0.608,roberta-base,67
0.858,0.582,0.601,roberta-base,76
0.856,0.572,0.593,roberta-base,91
0.853,0.572,0.6,roberta-large,3
0.828,0.541,0.56,roberta-large,4
0.808,0.537,0.563,roberta-large,6
0.839,0.55,0.576,roberta-large,10
0.83,0.553,0.565,roberta-large,13
0.818,0.561,0.591,roberta-large,14
0.819,0.542,0.564,roberta-large,15
0.85,0.552,0.564,roberta-large,23
0.843,0.565,0.586,roberta-large,41
0.812,0.555,0.575,roberta-large,49
0.829,0.569,0.595,roberta-large,52
0.832,0.561,0.584,roberta-large,67
0.825,0.547,0.561,roberta-large,76
0.845,0.565,0.589,roberta-large,82
0.857,0.552,0.564,roberta-large,91
