Token,Score,Direction
pay,0.4759013655020681,positive
rent,-0.1393689565884415,negative
mobile,0.10848230262698573,positive
allows,0.08691393730467618,positive
online,0.0858498822438248,positive
account,0.05565019832283724,positive
thing,-0.03981492785169394,negative
automatically,0.016193414387089433,positive
mark,-0.01574148235557091,negative
bill,0.013170084508601576,positive
application,0.009360393339149942,positive
functionality,0.006702829741698224,positive
zip,-0.005061580050442856,negative
integrate,0.004789405160408933,positive
new,0.003935399782979705,positive
