Token,SHAP_Value,Base_Value,Model,Category
messaging,0.19462614131043665,0.3236658058849571,roberta-base,Messaging
receiving,0.08878798395744525,0.3236658058849571,roberta-base,Messaging
sending,0.06985290822922252,0.3236658058849571,roberta-base,Messaging
device,-0.05988340147087001,0.3236658058849571,roberta-base,Messaging
location,-0.04146868523093872,0.3236658058849571,roberta-base,Messaging
lookup,-0.03658204010571353,0.3236658058849571,roberta-base,Messaging
gateway,0.03445991696207784,0.3236658058849571,roberta-base,Messaging
service,0.03129874925070908,0.3236658058849571,roberta-base,Messaging
enables,0.03080674377270043,0.3236658058849571,roberta-base,Messaging
bulk,0.03080674377270043,0.3236658058849571,roberta-base,Messaging
contact,0.02959811789332889,0.3236658058849571,roberta-base,Messaging
voice,0.029233691282570362,0.3236658058849571,roberta-base,Messaging
mobile,-0.025881112325199258,0.3236658058849571,roberta-base,Messaging
web,0.02334298902133014,0.3236658058849571,roberta-base,Messaging
managing,0.02280640570097603,0.3236658058849571,roberta-base,Messaging
