Token,SHAP_Value,Base_Value,Model,Category
pay,0.4759013655020681,0.005503454815230465,roberta-base,Payments
rent,-0.1393689565884415,0.005503454815230465,roberta-base,Payments
mobile,0.10848230262698573,0.005503454815230465,roberta-base,Payments
allows,0.08691393730467618,0.005503454815230465,roberta-base,Payments
online,0.0858498822438248,0.005503454815230465,roberta-base,Payments
account,0.05565019832283724,0.005503454815230465,roberta-base,Payments
thing,-0.03981492785169394,0.005503454815230465,roberta-base,Payments
automatically,0.016193414387089433,0.005503454815230465,roberta-base,Payments
mark,-0.01574148235557091,0.005503454815230465,roberta-base,Payments
bill,0.013170084508601576,0.005503454815230465,roberta-base,Payments
application,0.009360393339149942,0.005503454815230465,roberta-base,Payments
functionality,0.006702829741698224,0.005503454815230465,roberta-base,Payments
zip,-0.005061580050442856,0.005503454815230465,roberta-base,Payments
integrate,0.004789405160408933,0.005503454815230465,roberta-base,Payments
new,0.003935399782979705,0.005503454815230465,roberta-base,Payments
