Token,SHAP_Value,Base_Value,Model,Category
social,0.7552477749031823,0.011552589945495129,roberta-base,Social
community,0.22773453232184693,0.011552589945495129,roberta-base,Social
engagement,0.09405885750311427,0.011552589945495129,roberta-base,Social
secure,-0.07551738826805376,0.011552589945495129,roberta-base,Social
api,-0.03599410225979227,0.011552589945495129,roberta-base,Social
offer,-0.02341676555261074,0.011552589945495129,roberta-base,Social
involvement,0.01833705422905041,0.011552589945495129,roberta-base,Social
participation,0.013721170344069833,0.011552589945495129,roberta-base,Social
protection,-0.010283631690981565,0.011552589945495129,roberta-base,Social
secured,-0.010064852562209126,0.011552589945495129,roberta-base,Social
security,-0.008404718028032221,0.011552589945495129,roberta-base,Social
networking,0.005835664000187535,0.011552589945495129,roberta-base,Social
enhancement,0.0032214973543887027,0.011552589945495129,roberta-base,Social
safety,0.003185498950188048,0.011552589945495129,roberta-base,Social
system,-0.0029166983513277955,0.011552589945495129,roberta-base,Social
