Token,SHAP_Value,Base_Value,Model,Category
storage,0.24730923998595244,0.05303199998188286,roberta-base,Storage
document,-0.06797047229307888,0.05303199998188286,roberta-base,Storage
api,0.0396870484465104,0.05303199998188286,roberta-base,Storage
offer,0.037481813136764686,0.05303199998188286,roberta-base,Storage
nan,0.03039234479020085,0.05303199998188286,roberta-base,Storage
key,0.022975902148616677,0.05303199998188286,roberta-base,Storage
service,0.01395284984593153,0.05303199998188286,roberta-base,Storage
request,0.010322610446564795,0.05303199998188286,roberta-base,Storage
set,0.008921967143621822,0.05303199998188286,roberta-base,Storage
authenticated,0.007205699158670801,0.05303199998188286,roberta-base,Storage
authorized,0.007205699158670801,0.05303199998188286,roberta-base,Storage
consume,0.007205699158670801,0.05303199998188286,roberta-base,Storage
tax,-0.006768117203457569,0.05303199998188286,roberta-base,Storage
applicable,-0.0067581937285943975,0.05303199998188286,roberta-base,Storage
price,0.006451124530316779,0.05303199998188286,roberta-base,Storage
