Token,SHAP_Value,Base_Value,Model,Category
office,0.43796136255696183,-0.0005725123919546604,roberta-base,eCommerce
resource,0.04742103288299404,-0.0005725123919546604,roberta-base,eCommerce
staple,-0.039618259499548,-0.0005725123919546604,roberta-base,eCommerce
aple,-0.03539808432105929,-0.0005725123919546604,roberta-base,eCommerce
data,0.032617739343550056,-0.0005725123919546604,roberta-base,eCommerce
xml,0.02928297739708796,-0.0005725123919546604,roberta-base,eCommerce
product,-0.020868877323664492,-0.0005725123919546604,roberta-base,eCommerce
catalog,-0.02081944636302069,-0.0005725123919546604,roberta-base,eCommerce
company,0.016877473684871802,-0.0005725123919546604,roberta-base,eCommerce
service,0.01627623281092383,-0.0005725123919546604,roberta-base,eCommerce
international,0.01610389570123516,-0.0005725123919546604,roberta-base,eCommerce
category,-0.015429397666594014,-0.0005725123919546604,roberta-base,eCommerce
functionality,-0.013836455065757036,-0.0005725123919546604,roberta-base,eCommerce
web,0.01337984946439974,-0.0005725123919546604,roberta-base,eCommerce
exposed,-0.012690545670920983,-0.0005725123919546604,roberta-base,eCommerce
