Token,SHAP_Value,Base_Value,Model,Category
messaging,0.3006601220513403,0.3350229287376957,roberta-large,Messaging
sending,0.1313345018606924,0.3350229287376957,roberta-large,Messaging
bulk,0.10739672619092744,0.3350229287376957,roberta-large,Messaging
receiving,0.09428165525969234,0.3350229287376957,roberta-large,Messaging
service,0.08383997283817735,0.3350229287376957,roberta-large,Messaging
soap,-0.055712444431264885,0.3350229287376957,roberta-large,Messaging
voice,-0.04810142300630105,0.3350229287376957,roberta-large,Messaging
location,-0.04665032454431639,0.3350229287376957,roberta-large,Messaging
requesting,0.0402835994027555,0.3350229287376957,roberta-large,Messaging
ventus,0.0332111281932157,0.3350229287376957,roberta-large,Messaging
device,-0.03249905946358922,0.3350229287376957,roberta-large,Messaging
api,0.028181250047055073,0.3350229287376957,roberta-large,Messaging
ent,0.027444613083692577,0.3350229287376957,roberta-large,Messaging
lookup,-0.024465470745781204,0.3350229287376957,roberta-large,Messaging
provides,0.024031599823501892,0.3350229287376957,roberta-large,Messaging
