Token,SHAP_Value,Base_Value,Model,Category
pay,0.3843319971165329,0.0030521696050224514,roberta-large,Payments
online,0.0927185559157806,0.0030521696050224514,roberta-large,Payments
bill,0.06661829941804172,0.0030521696050224514,roberta-large,Payments
user,-0.06384160234956653,0.0030521696050224514,roberta-large,Payments
mobile,0.058448480118386215,0.0030521696050224514,roberta-large,Payments
account,0.05760458341501362,0.0030521696050224514,roberta-large,Payments
thing,0.05296081780034001,0.0030521696050224514,roberta-large,Payments
allows,0.049181507845787564,0.0030521696050224514,roberta-large,Payments
application,0.03638351873451029,0.0030521696050224514,roberta-large,Payments
mark,0.03374303807395336,0.0030521696050224514,roberta-large,Payments
zip,0.0327605845330254,0.0030521696050224514,roberta-large,Payments
rent,-0.025395395379018738,0.0030521696050224514,roberta-large,Payments
integrate,0.01915964385625557,0.0030521696050224514,roberta-large,Payments
functionality,0.006823393083323026,0.0030521696050224514,roberta-large,Payments
sign,0.006519876635138644,0.0030521696050224514,roberta-large,Payments
