Token,SHAP_Value,Base_Value,Model,Category
social,1.009239824674296,0.01909329964837525,roberta-large,Social
secure,-0.12406295379878429,0.01909329964837525,roberta-large,Social
community,0.11994571119612374,0.01909329964837525,roberta-large,Social
engagement,0.08590169356830302,0.01909329964837525,roberta-large,Social
offer,-0.0633714270843484,0.01909329964837525,roberta-large,Social
participation,0.05457251773077587,0.01909329964837525,roberta-large,Social
security,-0.05236233004325186,0.01909329964837525,roberta-large,Social
networking,0.04719744432441075,0.01909329964837525,roberta-large,Social
api,-0.04247727430993109,0.01909329964837525,roberta-large,Social
safety,-0.03635604754344968,0.01909329964837525,roberta-large,Social
secured,-0.016015037854231196,0.01909329964837525,roberta-large,Social
protection,-0.0030759862274862826,0.01909329964837525,roberta-large,Social
feature,-0.0028622955578612164,0.01909329964837525,roberta-large,Social
system,-0.00204984332958702,0.01909329964837525,roberta-large,Social
enhancement,0.0011545863671926782,0.01909329964837525,roberta-large,Social
