Token,SHAP_Value,Base_Value,Model,Category
storage,0.6061435567610586,0.0986499340735078,roberta-large,Storage
offer,0.11548296283581294,0.0986499340735078,roberta-large,Storage
api,0.0666804486187723,0.0986499340735078,roberta-large,Storage
nan,0.032368640027269475,0.0986499340735078,roberta-large,Storage
document,-0.030504824165680997,0.0986499340735078,roberta-large,Storage
service,0.02544688233504467,0.0986499340735078,roberta-large,Storage
function,0.00901833500828226,0.0986499340735078,roberta-large,Storage
allow,0.00901833500828226,0.0986499340735078,roberta-large,Storage
replace,0.008522456819978937,0.0986499340735078,roberta-large,Storage
delete,0.008522456819978937,0.0986499340735078,roberta-large,Storage
retrieve,0.006086534439223864,0.0986499340735078,roberta-large,Storage
create,0.006086534439223864,0.0986499340735078,roberta-large,Storage
currency,-0.0006510864376044385,0.0986499340735078,roberta-large,Storage
key,0.0005878828809645944,0.0986499340735078,roberta-large,Storage
supported,-0.0004495027759124544,0.0986499340735078,roberta-large,Storage
