Token,SHAP_Value,Base_Value,Model,Category
office,0.8164850110224506,0.010316510485912053,roberta-large,eCommerce
staple,0.08448888496786822,0.010316510485912053,roberta-large,eCommerce
international,-0.0794207662147528,0.010316510485912053,roberta-large,eCommerce
exposed,-0.07806456490652636,0.010316510485912053,roberta-large,eCommerce
product,-0.07141199877878535,0.010316510485912053,roberta-large,eCommerce
category,-0.06503271336987382,0.010316510485912053,roberta-large,eCommerce
catalog,-0.055053992437024135,0.010316510485912053,roberta-large,eCommerce
api,0.044622008892474696,0.010316510485912053,roberta-large,eCommerce
data,-0.04012947954470292,0.010316510485912053,roberta-large,eCommerce
response,0.03815701555868145,0.010316510485912053,roberta-large,eCommerce
functionality,0.0371994045417523,0.010316510485912053,roberta-large,eCommerce
xml,-0.034127065766369924,0.010316510485912053,roberta-large,eCommerce
exposing,-0.0259018064753036,0.010316510485912053,roberta-large,eCommerce
formatted,0.009987867204472423,0.010316510485912053,roberta-large,eCommerce
service,0.008262441882834537,0.010316510485912053,roberta-large,eCommerce
