category_name,precision,recall,f1-score,support,accuracy
Advertising,0.7692307692307693,0.7407407407407407,0.7547169811320754,27.0,0.7407407407407407
Analytics,0.6071428571428571,0.7727272727272727,0.68,22.0,0.7727272727272727
Application Development,0.7272727272727273,0.36363636363636365,0.4848484848484849,22.0,0.36363636363636365
Backend,0.9333333333333333,0.6666666666666666,0.7777777777777778,21.0,0.6666666666666666
Banking,0.9166666666666666,1.0,0.9565217391304348,22.0,1.0
Bitcoin,0.8275862068965517,0.96,0.888888888888889,25.0,0.96
Chat,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Cloud,0.6451612903225806,0.8,0.7142857142857142,25.0,0.8
Data,0.5,0.44,0.46808510638297873,25.0,0.44
Database,0.72,0.72,0.72,25.0,0.72
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.8571428571428571,0.72,0.782608695652174,25.0,0.72
Email,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0,0.9285714285714286
Enterprise,0.6363636363636364,0.4666666666666667,0.5384615384615385,30.0,0.4666666666666667
Entertainment,0.75,0.75,0.75,20.0,0.75
Events,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727
File Sharing,0.8260869565217391,0.95,0.8837209302325583,20.0,0.95
Financial,0.92,0.7666666666666667,0.8363636363636363,30.0,0.7666666666666667
Games,0.9583333333333334,0.92,0.9387755102040817,25.0,0.92
Government,0.6857142857142857,0.8,0.7384615384615385,30.0,0.8
Images,0.6956521739130435,0.8,0.7441860465116279,20.0,0.8
Internet of Things,0.6818181818181818,0.6818181818181818,0.6818181818181818,22.0,0.6818181818181818
Mapping,0.6764705882352942,0.7666666666666667,0.71875,30.0,0.7666666666666667
Media,0.9230769230769231,0.6,0.7272727272727274,20.0,0.6
Medical,0.84,0.9545454545454546,0.8936170212765958,22.0,0.9545454545454546
Messaging,0.9,0.9,0.9,30.0,0.9
Music,0.9166666666666666,0.88,0.8979591836734694,25.0,0.88
News Services,1.0,1.0,1.0,20.0,1.0
Office,0.75,0.6,0.6666666666666665,20.0,0.6
Other,0.88,1.0,0.9361702127659575,22.0,1.0
Payments,0.8484848484848485,0.9333333333333333,0.888888888888889,30.0,0.9333333333333333
Photos,0.8636363636363636,0.76,0.8085106382978724,25.0,0.76
Project Management,0.7666666666666667,0.92,0.8363636363636363,25.0,0.92
Real Estate,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9
Reference,0.2631578947368421,0.17857142857142858,0.2127659574468085,28.0,0.17857142857142858
Science,0.8055555555555556,0.9666666666666667,0.8787878787878789,30.0,0.9666666666666667
Search,0.6764705882352942,0.8214285714285714,0.7419354838709677,28.0,0.8214285714285714
Security,0.9473684210526315,0.8571428571428571,0.9,21.0,0.8571428571428571
Shipping,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,0.9545454545454546
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.8709677419354839,0.9642857142857143,0.9152542372881356,28.0,0.9642857142857143
Stocks,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0
Storage,0.7777777777777778,0.7,0.7368421052631577,20.0,0.7
Telephony,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334
Tools,0.4857142857142857,0.5666666666666667,0.523076923076923,30.0,0.5666666666666667
Transportation,0.8888888888888888,0.5714285714285714,0.6956521739130435,28.0,0.5714285714285714
Travel,0.8181818181818182,0.9642857142857143,0.8852459016393442,28.0,0.9642857142857143
Video,0.8148148148148148,0.7857142857142857,0.7999999999999999,28.0,0.7857142857142857
Weather,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
eCommerce,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0,0.8666666666666667
accuracy,0.8012924071082391,0.8012924071082391,0.8012924071082391,0.8012924071082391,
macro avg,0.8088216499402465,0.8043100529100529,0.8005010729440185,1238.0,
weighted avg,0.8019722784604438,0.8012924071082391,0.795710119373111,1238.0,
