Token,Score,Direction
socialsecure,0.2206057179862317,positive
api,0.13652587062100185,positive
secured,0.10297333078390833,positive
social,0.09862977755197738,positive
enhancement,0.09781438311180707,positive
system,0.06707190921464087,positive
networking,0.0616451003828022,positive
engagement,0.0596889302611223,positive
involvement,0.04883685222110194,positive
secure,0.0419942019965892,positive
participation,0.039467697229595325,positive
community,-0.03572994998893647,negative
safety,-0.02469976239610203,negative
protection,0.019238926283098326,positive
offer,0.016300862965922015,positive
