Fidelity,Jaccard,Stability,model,sample_id
0.863,0.653,0.685,DeepSeek_7B,2
0.9,0.665,0.696,DeepSeek_7B,3
0.893,0.651,0.686,DeepSeek_7B,4
0.861,0.642,0.678,DeepSeek_7B,6
0.893,0.662,0.699,DeepSeek_7B,10
0.9,0.663,0.69,DeepSeek_7B,13
0.887,0.664,0.697,DeepSeek_7B,14
0.889,0.67,0.694,DeepSeek_7B,15
0.899,0.649,0.682,DeepSeek_7B,23
0.897,0.668,0.697,DeepSeek_7B,41
0.9,0.672,0.712,DeepSeek_7B,50
0.9,0.68,0.719,DeepSeek_7B,51
0.89,0.654,0.683,DeepSeek_7B,57
0.9,0.673,0.703,DeepSeek_7B,67
0.874,0.664,0.695,DeepSeek_7B,76
