Token,Score,Direction
product,0.2139809443615377,positive
formatted,0.10375225233534972,positive
category,0.05866825642685095,positive
detail,0.05815267904351155,positive
xml,0.046635922665397324,positive
response,0.039633192277203,positive
catalog,0.0336278717732057,positive
resource,0.025801825569942594,positive
data,0.02558224741369486,positive
exposing,0.021549923694692552,positive
functionality,0.01904440624639392,positive
company,0.017860820749774575,positive
staple,0.014300587819889188,positive
exposed,0.010973539669066668,positive
service,0.009330889326520264,positive
