Token,SHAP_Value,Base_Value,Model,Category
messaging,0.11471846938285227,0.09651717767363313,DeepSeek_7B,Messaging
gateway,0.08607873073116126,0.09651717767363313,DeepSeek_7B,Messaging
service,0.07306638641337072,0.09651717767363313,DeepSeek_7B,Messaging
functionality,0.06795053435831454,0.09651717767363313,DeepSeek_7B,Messaging
provide,0.05697573267389089,0.09651717767363313,DeepSeek_7B,Messaging
soap,0.05281061467636998,0.09651717767363313,DeepSeek_7B,Messaging
though,0.042366237399013094,0.09651717767363313,DeepSeek_7B,Messaging
multi,0.03097962398896925,0.09651717767363313,DeepSeek_7B,Messaging
voice,0.028639738651691005,0.09651717767363313,DeepSeek_7B,Messaging
developer,0.022463188331231423,0.09651717767363313,DeepSeek_7B,Messaging
integrate,0.022463188331231423,0.09651717767363313,DeepSeek_7B,Messaging
page,0.021034837671322748,0.09651717767363313,DeepSeek_7B,Messaging
enables,0.017704939906252548,0.09651717767363313,DeepSeek_7B,Messaging
bulk,0.017704939906252548,0.09651717767363313,DeepSeek_7B,Messaging
using,0.015121566296632713,0.09651717767363313,DeepSeek_7B,Messaging
