Token,SHAP_Value,Base_Value,Model,Category
pay,0.0986569959204644,0.025867343747190068,DeepSeek_7B,Payments
developer,0.08666985395151036,0.025867343747190068,DeepSeek_7B,Payments
user,0.0823661456660678,0.025867343747190068,DeepSeek_7B,Payments
zip,0.07759064188999003,0.025867343747190068,DeepSeek_7B,Payments
information,0.06371174972931234,0.025867343747190068,DeepSeek_7B,Payments
thing,0.06117274356074631,0.025867343747190068,DeepSeek_7B,Payments
here,0.04411927085796682,0.025867343747190068,DeepSeek_7B,Payments
mark,0.042591375623167206,0.025867343747190068,DeepSeek_7B,Payments
access,0.03270788161898963,0.025867343747190068,DeepSeek_7B,Payments
available,0.03262264488633567,0.025867343747190068,DeepSeek_7B,Payments
interested,0.03262264488633567,0.025867343747190068,DeepSeek_7B,Payments
sign,0.03262264488633567,0.025867343747190068,DeepSeek_7B,Payments
account,0.026312930742278695,0.025867343747190068,DeepSeek_7B,Payments
integrate,0.023493559245252982,0.025867343747190068,DeepSeek_7B,Payments
functionality,0.019196310226107016,0.025867343747190068,DeepSeek_7B,Payments
