Token,SHAP_Value,Base_Value,Model,Category
system,0.22845228773076087,0.02215233367557327,DeepSeek_7B,Social
social,0.16168352293122248,0.02215233367557327,DeepSeek_7B,Social
enhancement,0.07248089497443289,0.02215233367557327,DeepSeek_7B,Social
secure,0.053036143081650756,0.02215233367557327,DeepSeek_7B,Social
feature,0.052168261172482744,0.02215233367557327,DeepSeek_7B,Social
safety,0.05007820180617273,0.02215233367557327,DeepSeek_7B,Social
secured,0.03811875212704763,0.02215233367557327,DeepSeek_7B,Social
protection,0.03693807081435807,0.02215233367557327,DeepSeek_7B,Social
networking,0.032985831319820136,0.02215233367557327,DeepSeek_7B,Social
security,0.03263393946690485,0.02215233367557327,DeepSeek_7B,Social
engagement,0.027952993696089834,0.02215233367557327,DeepSeek_7B,Social
participation,0.021221179893473163,0.02215233367557327,DeepSeek_7B,Social
involvement,0.017583171866135672,0.02215233367557327,DeepSeek_7B,Social
api,0.008798257331363857,0.02215233367557327,DeepSeek_7B,Social
offer,0.008798257331363857,0.02215233367557327,DeepSeek_7B,Social
