Token,SHAP_Value,Base_Value,Model,Category
nan,0.0187405267188,0.08254911958023575,DeepSeek_7B,Storage
credit,0.016208761644773757,0.08254911958023575,DeepSeek_7B,Storage
storage,0.014350568086748743,0.08254911958023575,DeepSeek_7B,Storage
api,0.01359568308636467,0.08254911958023575,DeepSeek_7B,Storage
document,0.011361006837562724,0.08254911958023575,DeepSeek_7B,Storage
service,0.009714116352297615,0.08254911958023575,DeepSeek_7B,Storage
key,0.009402353087996522,0.08254911958023575,DeepSeek_7B,Storage
offer,0.008939788924180903,0.08254911958023575,DeepSeek_7B,Storage
pricing,0.0065245495759757655,0.08254911958023575,DeepSeek_7B,Storage
replace,0.005950227674994884,0.08254911958023575,DeepSeek_7B,Storage
delete,0.005950227674994884,0.08254911958023575,DeepSeek_7B,Storage
refill,0.005927695526030516,0.08254911958023575,DeepSeek_7B,Storage
function,0.00541077916256784,0.08254911958023575,DeepSeek_7B,Storage
allow,0.00541077916256784,0.08254911958023575,DeepSeek_7B,Storage
retrieve,0.00541077916256784,0.08254911958023575,DeepSeek_7B,Storage
