Token,SHAP_Value,Base_Value,Model,Category
product,0.2139809443615377,0.11323324513311187,DeepSeek_7B,eCommerce
formatted,0.10375225233534972,0.11323324513311187,DeepSeek_7B,eCommerce
category,0.05866825642685095,0.11323324513311187,DeepSeek_7B,eCommerce
detail,0.05815267904351155,0.11323324513311187,DeepSeek_7B,eCommerce
xml,0.046635922665397324,0.11323324513311187,DeepSeek_7B,eCommerce
response,0.039633192277203,0.11323324513311187,DeepSeek_7B,eCommerce
catalog,0.0336278717732057,0.11323324513311187,DeepSeek_7B,eCommerce
resource,0.025801825569942594,0.11323324513311187,DeepSeek_7B,eCommerce
data,0.02558224741369486,0.11323324513311187,DeepSeek_7B,eCommerce
exposing,0.021549923694692552,0.11323324513311187,DeepSeek_7B,eCommerce
functionality,0.01904440624639392,0.11323324513311187,DeepSeek_7B,eCommerce
company,0.017860820749774575,0.11323324513311187,DeepSeek_7B,eCommerce
staple,0.014300587819889188,0.11323324513311187,DeepSeek_7B,eCommerce
exposed,0.010973539669066668,0.11323324513311187,DeepSeek_7B,eCommerce
service,0.009330889326520264,0.11323324513311187,DeepSeek_7B,eCommerce
