category_name,precision,recall,f1-score,support,accuracy
Advertising,0.8,0.7407407407407407,0.7692307692307692,27.0,0.7407407407407407
Analytics,0.68,0.7727272727272727,0.7234042553191491,22.0,0.7727272727272727
Application Development,0.6666666666666666,0.45454545454545453,0.5405405405405405,22.0,0.45454545454545453
Backend,0.6428571428571429,0.42857142857142855,0.5142857142857143,21.0,0.42857142857142855
Banking,0.75,0.9545454545454546,0.84,22.0,0.9545454545454546
Bitcoin,0.8064516129032258,1.0,0.8928571428571428,25.0,1.0
Chat,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
Cloud,0.5625,0.72,0.631578947368421,25.0,0.72
Data,0.6875,0.44,0.5365853658536586,25.0,0.44
Database,1.0,0.6,0.7499999999999999,25.0,0.6
Domains,0.95,0.95,0.9500000000000001,20.0,0.95
Education,0.7619047619047619,0.64,0.6956521739130435,25.0,0.64
Email,0.7575757575757576,0.8928571428571429,0.819672131147541,28.0,0.8928571428571429
Enterprise,0.3902439024390244,0.5333333333333333,0.4507042253521127,30.0,0.5333333333333333
Entertainment,0.6296296296296297,0.85,0.723404255319149,20.0,0.85
Events,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0,0.8181818181818182
File Sharing,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9
Financial,0.6818181818181818,0.5,0.576923076923077,30.0,0.5
Games,0.95,0.76,0.8444444444444444,25.0,0.76
Government,0.6363636363636364,0.7,0.6666666666666666,30.0,0.7
Images,0.8181818181818182,0.9,0.8571428571428572,20.0,0.9
Internet of Things,0.6363636363636364,0.6363636363636364,0.6363636363636364,22.0,0.6363636363636364
Mapping,0.6842105263157895,0.8666666666666667,0.7647058823529413,30.0,0.8666666666666667
Media,0.5,0.45,0.4736842105263158,20.0,0.45
Medical,0.7777777777777778,0.9545454545454546,0.8571428571428572,22.0,0.9545454545454546
Messaging,0.7567567567567568,0.9333333333333333,0.835820895522388,30.0,0.9333333333333333
Music,0.7692307692307693,0.8,0.7843137254901961,25.0,0.8
News Services,1.0,1.0,1.0,20.0,1.0
Office,0.6111111111111112,0.55,0.5789473684210527,20.0,0.55
Other,0.88,1.0,0.9361702127659575,22.0,1.0
Payments,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0,0.8666666666666667
Photos,0.7857142857142857,0.88,0.830188679245283,25.0,0.88
Project Management,0.6875,0.88,0.7719298245614036,25.0,0.88
Real Estate,0.9375,0.75,0.8333333333333334,20.0,0.75
Reference,0.3,0.21428571428571427,0.25,28.0,0.21428571428571427
Science,0.7027027027027027,0.8666666666666667,0.7761194029850748,30.0,0.8666666666666667
Search,0.7619047619047619,0.5714285714285714,0.6530612244897959,28.0,0.5714285714285714
Security,0.85,0.8095238095238095,0.8292682926829269,21.0,0.8095238095238095
Shipping,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,0.9545454545454546
Social,0.9375,1.0,0.967741935483871,30.0,1.0
Sports,0.8387096774193549,0.9285714285714286,0.8813559322033899,28.0,0.9285714285714286
Stocks,1.0,0.8636363636363636,0.9268292682926829,22.0,0.8636363636363636
Storage,0.6956521739130435,0.8,0.7441860465116279,20.0,0.8
Telephony,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333
Tools,0.4,0.2,0.26666666666666666,30.0,0.2
Transportation,0.7391304347826086,0.6071428571428571,0.6666666666666666,28.0,0.6071428571428571
Travel,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,0.8928571428571429
Video,0.8695652173913043,0.7142857142857143,0.7843137254901961,28.0,0.7142857142857143
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.7,0.7,0.7,30.0,0.7
accuracy,0.752827140549273,0.752827140549273,0.752827140549273,0.752827140549273,
macro avg,0.7599942658753462,0.7595871091871093,0.7521875601369996,1238.0,
weighted avg,0.7525700375566236,0.752827140549273,0.7448944660633254,1238.0,
