Token,Score,Direction
pay,0.36218181650864895,positive
automatically,0.161505534757878,positive
zipmark,-0.1456887839102732,negative
user,-0.10279353215218202,negative
developer,-0.07693252957078049,negative
public,-0.07518430738527286,negative
rent,-0.06872753935047113,negative
thing,-0.059222352556828096,negative
mobile,0.053811163565376276,positive
online,0.04959917013948331,positive
bill,0.04939628103272683,positive
sign,-0.046241791394425975,negative
access,-0.03579094296550205,negative
available,0.035247962259102025,positive
information,-0.028558913174181088,negative
