Token,Score,Direction
sm,0.3126270204136482,positive
device,-0.26616671749637466,negative
messaging,0.23873982639342706,positive
contact,0.18468776348451038,positive
sending,0.1742946114019898,positive
bulk,0.17135434816247946,positive
lookup,-0.14150814636619508,negative
rest,-0.13610712521786217,negative
web,0.13297172939524288,positive
broadcast,-0.11629909560184369,negative
managing,0.11221044130909531,positive
soap,0.10968228372119612,positive
location,-0.09253625582898356,negative
report,-0.08511940863288792,negative
geo,-0.07923542146389549,negative
