Token,Score,Direction
Backend,1.2778419780949774e-05,positive
Application Development,1.0755650723903482e-05,positive
Analytics,8.368521883072146e-06,positive
Data,7.936963377495448e-06,positive
Entertainment,6.964199504172021e-06,positive
Database,6.749136497804926e-06,positive
Enterprise,6.659475772432362e-06,positive
Education,5.804492439141253e-06,positive
Chat,5.497514469905794e-06,positive
Cloud,4.626609507775348e-06,positive
Email,3.8325808039456795e-06,positive
Advertising,2.966248717880423e-06,positive
Domains,2.3830796415017716e-06,positive
Bitcoin,1.5272837614742692e-06,positive
Banking,7.449782478315285e-07,positive
