Token,Score,Direction
pay,0.29193164027788043,positive
rent,-0.142755956552719,negative
automatically,0.11659466096534743,positive
account,0.06994131573810591,positive
application,0.043592390784886866,positive
user,0.0421558480263684,positive
mobile,0.03504809253718122,positive
bill,0.018945503554050447,positive
access,-0.018581789142899652,negative
developer,-0.01741431820449249,negative
create,-0.011863697172355633,negative
new,-0.011863697172355633,negative
allows,0.006621654941397992,positive
zipmark,0.006286838205443682,positive
thing,0.005812309486600498,positive
