Token,Score,Direction
here,0.12270762013728442,positive
online mobile,0.08501513697858226,positive
sign here,0.07956142293162302,positive
new application,0.07942954058624893,positive
application create,0.07442402091996833,positive
developer sign,0.05762833118022915,positive
allows user,0.05080162665949128,positive
application,0.04849327637399963,positive
automatically,0.04841954706026474,positive
application allows,0.03727100353722923,positive
ability,0.0,positive
ability access,0.0,positive
ability create,0.0,positive
ability search,0.0,positive
ability send,0.0,positive
