Token,SHAP_Value,Base_Value,Model,Category
messaging,0.10969580362707347,0.010414659976959229,DL_BiLSTM,Messaging
location,0.07975739591638557,0.010414659976959229,DL_BiLSTM,Messaging
mobile,0.07149520621169358,0.010414659976959229,DL_BiLSTM,Messaging
custom,0.06764329654743051,0.010414659976959229,DL_BiLSTM,Messaging
voice,0.06764329654743051,0.010414659976959229,DL_BiLSTM,Messaging
requesting,0.057541487854905427,0.010414659976959229,DL_BiLSTM,Messaging
lookup,0.05350172391626984,0.010414659976959229,DL_BiLSTM,Messaging
sm,-0.04469264834187925,0.010414659976959229,DL_BiLSTM,Messaging
service,0.04071412367054563,0.010414659976959229,DL_BiLSTM,Messaging
device,0.03411745890236943,0.010414659976959229,DL_BiLSTM,Messaging
gateway,0.024476049307122594,0.010414659976959229,DL_BiLSTM,Messaging
receiving,-0.02318076475057751,0.010414659976959229,DL_BiLSTM,Messaging
bulk,-0.02151188359130174,0.010414659976959229,DL_BiLSTM,Messaging
functionality,0.020013662729934368,0.010414659976959229,DL_BiLSTM,Messaging
application,0.019944134333240982,0.010414659976959229,DL_BiLSTM,Messaging
