Token,SHAP_Value,Base_Value,Model,Category
storage,0.16557117885338357,0.054232994522051506,DL_BiLSTM,Storage
api,0.1144791924598394,0.054232994522051506,DL_BiLSTM,Storage
nanosdk,0.05826342182450883,0.054232994522051506,DL_BiLSTM,Storage
document,0.03788993889554604,0.054232994522051506,DL_BiLSTM,Storage
key,0.02454097959714474,0.054232994522051506,DL_BiLSTM,Storage
credit,-0.024274570786844318,0.054232994522051506,DL_BiLSTM,Storage
offer,0.021661474176767115,0.054232994522051506,DL_BiLSTM,Storage
refill,-0.019580486000226195,0.054232994522051506,DL_BiLSTM,Storage
delete,-0.015891401468707045,0.054232994522051506,DL_BiLSTM,Storage
price,-0.01580247960720109,0.054232994522051506,DL_BiLSTM,Storage
create,-0.015742309189135995,0.054232994522051506,DL_BiLSTM,Storage
replace,-0.015742309189135995,0.054232994522051506,DL_BiLSTM,Storage
currency,-0.013134673141409856,0.054232994522051506,DL_BiLSTM,Storage
usd,-0.013134673141409856,0.054232994522051506,DL_BiLSTM,Storage
balance,-0.012859802018759114,0.054232994522051506,DL_BiLSTM,Storage
