Token,SHAP_Value,Base_Value,Model,Category
messaging,0.3868290513483665,0.004380757415669755,DL_BiLSTM,Messaging
sm,0.2678623227531397,0.004380757415669755,DL_BiLSTM,Messaging
managing contact,0.2170607432264428,0.004380757415669755,DL_BiLSTM,Messaging
device,-0.13414486724366945,0.004380757415669755,DL_BiLSTM,Messaging
broadcast,-0.11653453911690272,0.004380757415669755,DL_BiLSTM,Messaging
sending,0.10988380976499225,0.004380757415669755,DL_BiLSTM,Messaging
bulk sm,0.10068804006715032,0.004380757415669755,DL_BiLSTM,Messaging
geo,-0.09830895015158862,0.004380757415669755,DL_BiLSTM,Messaging
sending receiving,-0.08836579960635638,0.004380757415669755,DL_BiLSTM,Messaging
location service,-0.06890617291509941,0.004380757415669755,DL_BiLSTM,Messaging
ability,0.0,0.004380757415669755,DL_BiLSTM,Messaging
ability access,0.0,0.004380757415669755,DL_BiLSTM,Messaging
ability create,0.0,0.004380757415669755,DL_BiLSTM,Messaging
ability search,0.0,0.004380757415669755,DL_BiLSTM,Messaging
ability send,0.0,0.004380757415669755,DL_BiLSTM,Messaging
