Token,SHAP_Value,Base_Value,Model,Category
here,0.12270762013728442,0.03632342528379115,DL_BiLSTM,Payments
online mobile,0.08501513697858226,0.03632342528379115,DL_BiLSTM,Payments
sign here,0.07956142293162302,0.03632342528379115,DL_BiLSTM,Payments
new application,0.07942954058624893,0.03632342528379115,DL_BiLSTM,Payments
application create,0.07442402091996833,0.03632342528379115,DL_BiLSTM,Payments
developer sign,0.05762833118022915,0.03632342528379115,DL_BiLSTM,Payments
allows user,0.05080162665949128,0.03632342528379115,DL_BiLSTM,Payments
application,0.04849327637399963,0.03632342528379115,DL_BiLSTM,Payments
automatically,0.04841954706026474,0.03632342528379115,DL_BiLSTM,Payments
application allows,0.03727100353722923,0.03632342528379115,DL_BiLSTM,Payments
ability,0.0,0.03632342528379115,DL_BiLSTM,Payments
ability access,0.0,0.03632342528379115,DL_BiLSTM,Payments
ability create,0.0,0.03632342528379115,DL_BiLSTM,Payments
ability search,0.0,0.03632342528379115,DL_BiLSTM,Payments
ability send,0.0,0.03632342528379115,DL_BiLSTM,Payments
