Token,SHAP_Value,Base_Value,Model,Category
social networking,0.17124178823231026,0.10698682081338855,DL_BiLSTM,Social
networking,0.14089901412195874,0.10698682081338855,DL_BiLSTM,Social
involvement,0.13175391821637855,0.10698682081338855,DL_BiLSTM,Social
community,0.12191968682708346,0.10698682081338855,DL_BiLSTM,Social
social,0.11617610769731603,0.10698682081338855,DL_BiLSTM,Social
participation,0.10447752845794789,0.10698682081338855,DL_BiLSTM,Social
engagement,0.05380632561262984,0.10698682081338855,DL_BiLSTM,Social
end day,0.02059522923759178,0.10698682081338855,DL_BiLSTM,Social
information,0.01675246783416755,0.10698682081338855,DL_BiLSTM,Social
api offer,0.015390874530648246,0.10698682081338855,DL_BiLSTM,Social
ability,0.0,0.10698682081338855,DL_BiLSTM,Social
ability access,0.0,0.10698682081338855,DL_BiLSTM,Social
ability create,0.0,0.10698682081338855,DL_BiLSTM,Social
ability search,0.0,0.10698682081338855,DL_BiLSTM,Social
ability send,0.0,0.10698682081338855,DL_BiLSTM,Social
