Token,SHAP_Value,Base_Value,Model,Category
credit,0.13863023658825036,0.01815248695157675,DL_BiLSTM,Storage
nanosdk,0.12745603179088666,0.01815248695157675,DL_BiLSTM,Storage
document,0.09618808932142282,0.01815248695157675,DL_BiLSTM,Storage
tax,0.09169419072822584,0.01815248695157675,DL_BiLSTM,Storage
storage api,0.08686473021269765,0.01815248695157675,DL_BiLSTM,Storage
refill,0.08360075246400828,0.01815248695157675,DL_BiLSTM,Storage
exclusive,0.07445565358222302,0.01815248695157675,DL_BiLSTM,Storage
allows request,0.07015841920090797,0.01815248695157675,DL_BiLSTM,Storage
header,0.05847975704537478,0.01815248695157675,DL_BiLSTM,Storage
user friendly,0.057945080791031146,0.01815248695157675,DL_BiLSTM,Storage
ability,0.0,0.01815248695157675,DL_BiLSTM,Storage
ability access,0.0,0.01815248695157675,DL_BiLSTM,Storage
ability create,0.0,0.01815248695157675,DL_BiLSTM,Storage
ability search,0.0,0.01815248695157675,DL_BiLSTM,Storage
ability send,0.0,0.01815248695157675,DL_BiLSTM,Storage
