Token,SHAP_Value,Base_Value,Model,Category
product,0.4535102796592543,0.1286918904775771,DL_BiLSTM,eCommerce
product data,0.1589534275440942,0.1286918904775771,DL_BiLSTM,eCommerce
product category,-0.1535558040897002,0.1286918904775771,DL_BiLSTM,eCommerce
exposed,-0.139524418708277,0.1286918904775771,DL_BiLSTM,eCommerce
office,-0.126386097632519,0.1286918904775771,DL_BiLSTM,eCommerce
category,0.09476019406728281,0.1286918904775771,DL_BiLSTM,eCommerce
catalog,0.07166194413730141,0.1286918904775771,DL_BiLSTM,eCommerce
detail,0.06608895731204724,0.1286918904775771,DL_BiLSTM,eCommerce
web service,-0.06217750079593032,0.1286918904775771,DL_BiLSTM,eCommerce
ability,0.0,0.1286918904775771,DL_BiLSTM,eCommerce
ability access,0.0,0.1286918904775771,DL_BiLSTM,eCommerce
ability create,0.0,0.1286918904775771,DL_BiLSTM,eCommerce
ability search,0.0,0.1286918904775771,DL_BiLSTM,eCommerce
ability send,0.0,0.1286918904775771,DL_BiLSTM,eCommerce
able,0.0,0.1286918904775771,DL_BiLSTM,eCommerce
