category_name,precision,recall,f1-score,support,accuracy
Advertising,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0,0.8518518518518519
Analytics,0.6923076923076923,0.8181818181818182,0.7500000000000001,22.0,0.8181818181818182
Application Development,0.6470588235294118,0.5,0.5641025641025642,22.0,0.5
Backend,0.6363636363636364,0.6666666666666666,0.6511627906976744,21.0,0.6666666666666666
Banking,0.7777777777777778,0.9545454545454546,0.8571428571428572,22.0,0.9545454545454546
Bitcoin,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92
Chat,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Cloud,0.7083333333333334,0.68,0.6938775510204083,25.0,0.68
Data,0.6666666666666666,0.56,0.6086956521739131,25.0,0.56
Database,0.68,0.68,0.68,25.0,0.68
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.7727272727272727,0.68,0.7234042553191491,25.0,0.68
Email,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0,0.8571428571428571
Enterprise,0.6071428571428571,0.5666666666666667,0.5862068965517241,30.0,0.5666666666666667
Entertainment,0.8095238095238095,0.85,0.8292682926829269,20.0,0.85
Events,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727
File Sharing,0.8571428571428571,0.9,0.8780487804878048,20.0,0.9
Financial,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,0.7666666666666667
Games,0.96,0.96,0.96,25.0,0.96
Government,0.6285714285714286,0.7333333333333333,0.6769230769230768,30.0,0.7333333333333333
Images,0.6538461538461539,0.85,0.7391304347826088,20.0,0.85
Internet of Things,0.75,0.6818181818181818,0.7142857142857143,22.0,0.6818181818181818
Mapping,0.7428571428571429,0.8666666666666667,0.8,30.0,0.8666666666666667
Media,0.8571428571428571,0.6,0.7058823529411764,20.0,0.6
Medical,0.7241379310344828,0.9545454545454546,0.823529411764706,22.0,0.9545454545454546
Messaging,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0,0.9333333333333333
Music,0.8148148148148148,0.88,0.8461538461538461,25.0,0.88
News Services,1.0,1.0,1.0,20.0,1.0
Office,0.7058823529411765,0.6,0.6486486486486486,20.0,0.6
Other,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546
Payments,0.8125,0.8666666666666667,0.8387096774193549,30.0,0.8666666666666667
Photos,0.8181818181818182,0.72,0.7659574468085107,25.0,0.72
Project Management,0.8571428571428571,0.96,0.9056603773584904,25.0,0.96
Real Estate,1.0,0.95,0.9743589743589743,20.0,0.95
Reference,0.3181818181818182,0.25,0.28,28.0,0.25
Science,0.8235294117647058,0.9333333333333333,0.8749999999999999,30.0,0.9333333333333333
Search,0.6538461538461539,0.6071428571428571,0.6296296296296297,28.0,0.6071428571428571
Security,0.9473684210526315,0.8571428571428571,0.9,21.0,0.8571428571428571
Shipping,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.9,0.9642857142857143,0.9310344827586207,28.0,0.9642857142857143
Stocks,1.0,0.9090909090909091,0.9523809523809523,22.0,0.9090909090909091
Storage,0.7222222222222222,0.65,0.6842105263157895,20.0,0.65
Telephony,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0,0.7666666666666667
Tools,0.5714285714285714,0.4,0.47058823529411764,30.0,0.4
Transportation,0.88,0.7857142857142857,0.830188679245283,28.0,0.7857142857142857
Travel,0.875,1.0,0.9333333333333333,28.0,1.0
Video,0.92,0.8214285714285714,0.8679245283018867,28.0,0.8214285714285714
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.8846153846153846,0.7666666666666667,0.8214285714285715,30.0,0.7666666666666667
accuracy,0.7996768982229402,0.7996768982229402,0.7996768982229402,0.7996768982229402,
macro avg,0.8038339390924891,0.8039366041366042,0.8001129640444609,1238.0,
weighted avg,0.7983242105153667,0.7996768982229402,0.7952655331981832,1238.0,
