category_name,precision,recall,f1-score,support,accuracy
Advertising,0.696969696969697,0.8518518518518519,0.7666666666666667,27.0,0.8518518518518519
Analytics,0.7727272727272727,0.7727272727272727,0.7727272727272727,22.0,0.7727272727272727
Application Development,0.6153846153846154,0.36363636363636365,0.4571428571428572,22.0,0.36363636363636365
Backend,0.75,0.5714285714285714,0.6486486486486486,21.0,0.5714285714285714
Banking,0.7241379310344828,0.9545454545454546,0.823529411764706,22.0,0.9545454545454546
Bitcoin,0.8518518518518519,0.92,0.8846153846153846,25.0,0.92
Chat,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
Cloud,0.6451612903225806,0.8,0.7142857142857142,25.0,0.8
Data,0.782608695652174,0.72,0.7499999999999999,25.0,0.72
Database,0.68,0.68,0.68,25.0,0.68
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.8571428571428571,0.72,0.782608695652174,25.0,0.72
Email,0.8928571428571429,0.8928571428571429,0.8928571428571429,28.0,0.8928571428571429
Enterprise,0.5652173913043478,0.43333333333333335,0.49056603773584906,30.0,0.43333333333333335
Entertainment,0.68,0.85,0.7555555555555556,20.0,0.85
Events,0.9,0.8181818181818182,0.8571428571428572,22.0,0.8181818181818182
File Sharing,0.7916666666666666,0.95,0.8636363636363635,20.0,0.95
Financial,0.85,0.5666666666666667,0.68,30.0,0.5666666666666667
Games,0.96,0.96,0.96,25.0,0.96
Government,0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0,0.7666666666666667
Images,0.6666666666666666,0.9,0.7659574468085106,20.0,0.9
Internet of Things,0.6956521739130435,0.7272727272727273,0.711111111111111,22.0,0.7272727272727273
Mapping,0.7222222222222222,0.8666666666666667,0.7878787878787877,30.0,0.8666666666666667
Media,0.8333333333333334,0.5,0.625,20.0,0.5
Medical,0.7,0.9545454545454546,0.8076923076923077,22.0,0.9545454545454546
Messaging,0.8125,0.8666666666666667,0.8387096774193549,30.0,0.8666666666666667
Music,0.9166666666666666,0.88,0.8979591836734694,25.0,0.88
News Services,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Office,0.6666666666666666,0.6,0.631578947368421,20.0,0.6
Other,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091
Payments,0.8709677419354839,0.9,0.8852459016393444,30.0,0.9
Photos,0.8,0.8,0.8000000000000002,25.0,0.8
Project Management,0.8518518518518519,0.92,0.8846153846153846,25.0,0.92
Real Estate,1.0,0.9,0.9473684210526316,20.0,0.9
Reference,0.3125,0.17857142857142858,0.22727272727272727,28.0,0.17857142857142858
Science,0.8125,0.8666666666666667,0.8387096774193549,30.0,0.8666666666666667
Search,0.5428571428571428,0.6785714285714286,0.603174603174603,28.0,0.6785714285714286
Security,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.9523809523809523
Shipping,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0
Social,1.0,1.0,1.0,30.0,1.0
Sports,0.9,0.9642857142857143,0.9310344827586207,28.0,0.9642857142857143
Stocks,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546
Storage,0.8125,0.65,0.7222222222222223,20.0,0.65
Telephony,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334
Tools,0.6,0.4,0.48,30.0,0.4
Transportation,0.92,0.8214285714285714,0.8679245283018867,28.0,0.8214285714285714
Travel,0.84375,0.9642857142857143,0.8999999999999999,28.0,0.9642857142857143
Video,0.875,0.75,0.8076923076923077,28.0,0.75
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0,0.8666666666666667
accuracy,0.7980613893376414,0.7980613893376414,0.7980613893376414,0.7980613893376414,
macro avg,0.8009390418737472,0.8029374699374701,0.795634923028956,1238.0,
weighted avg,0.7962775749903416,0.7980613893376414,0.7909856389538386,1238.0,
