Token,Score,Direction
api,0.6554508124103671,positive
imagga,0.4615063482651168,positive
mailwriter,0.432711631373309,positive
liveperson,0.409351931911715,positive
bank,0.33380283872249433,positive
press,0.3335479236692013,positive
journalist,0.32922528531522766,positive
meteorological,0.31952147516731,positive
scientificweather,0.2823592685296653,positive
weather,0.2623707346870576,positive
selectedweather,0.25610121169389305,positive
ion,0.24083242369413416,positive
chat,0.23735542772843352,positive
prosper,0.22860947325360442,positive
pokmon,0.2151269819083518,positive
