Token,Score,Direction
api,0.48134635180856294,positive
liveperson,0.4700461534468186,positive
press,0.4333943878793567,positive
meteorological,0.432505309003637,positive
provides,0.37714649201621003,positive
storage,0.36912739963112357,positive
mailwriter,0.35493218048345565,positive
imagga,0.32345224640273307,positive
scientificweather,0.300879578117018,positive
bank,0.287876087990078,positive
mendix,0.26695223767524434,positive
weather,0.25752370299564764,positive
cryptocurrency,0.24569643397437566,positive
pokmon,0.2427515920292303,positive
bitcoin,0.2274217699430085,positive
