Token,Score,Direction
api,0.5150614634278842,positive
liveperson,0.4944789584385445,positive
mailwriter,0.4660284216986735,positive
imagga,0.4453406528409271,positive
press,0.4267422581114824,positive
weather,0.34799438220602347,positive
mendeley,0.31969984183959393,positive
storage,0.29736225708773517,positive
pokmon,0.2908682728321472,positive
bank,0.2889595426080316,positive
mendix,0.2795056800765021,positive
prosper,0.2749675545082389,positive
journalist,0.26102517376965956,positive
scientificweather,0.2506296663877079,positive
meteorological,0.24412599596910545,positive
