Token,Score,Direction
photo,0.6566815147037172,positive
provides,0.47942287212872037,positive
cryptocurrency,0.44567570411659574,positive
imagga,0.4323305783750221,positive
meteorological,0.41741808457835894,positive
liveperson,0.4096038970351224,positive
press,0.3900242873061831,positive
api,0.38726630359014413,positive
weather,0.3796881874312989,positive
bank,0.32773129134177903,positive
mailwriter,0.3118630648129734,positive
storage,0.30541463181875567,positive
bitcoin,0.2871469693768933,positive
pokmon,0.2584460493761642,positive
coinaccel,0.25339631461052675,positive
