Token,Score,Direction
storage,0.18128885426356656,positive
key,0.048271601046794024,positive
document,0.04697151210242692,positive
user,0.0414522057019093,positive
speed,0.03604609448833806,positive
used,0.0356879674868227,positive
authenticated,0.033629619811529544,positive
explorer,-0.03007468439674504,negative
offer,0.029747905329174852,positive
friendly,0.027444445941765844,positive
allow,0.025876886443966574,positive
simple,0.02000884112200112,positive
balance,-0.019197220931125355,negative
moment,-0.0190845911047529,negative
api,0.018977905802642376,positive
