Token,Score,Direction
office,-0.15811914692399429,negative
api,-0.07011477271949713,negative
resource,0.06391717076071443,positive
exposing,0.0617658608861701,positive
restful,0.054617968767061875,positive
xml,0.04115343685876422,positive
staple,-0.0399640786527892,negative
exposed,0.03925877574077749,positive
international,0.038668508442151694,positive
data,0.032433304595766765,positive
catalog,-0.0308696508949035,negative
service,0.0222588652315988,positive
product,-0.020389953730585046,negative
detail,-0.017856146216611708,negative
web,-0.014777513779755452,negative
