Token,Score,Direction
pay,0.4018002069642457,positive
thing,0.11269531321593236,positive
account,0.10850832333912977,positive
allows,0.10285768624235213,positive
rent,-0.09728725141549636,negative
automatically,0.09073600981247877,positive
user,-0.06196587237978428,negative
bill,0.05066337592616213,positive
mobile,0.03241066067359583,positive
api,0.027380325804743828,positive
online,-0.026081998565149686,negative
sign,0.022657970817108734,positive
application,0.022121143451230344,positive
integrate,0.02189036459770295,positive
here,0.016894479897047437,positive
