Token,Score,Direction
storage,0.27621892929677044,positive
nanosdk,-0.09633628855794431,negative
key,0.058955175916381476,positive
document,0.04792773906927442,positive
friendly,0.0401755315720517,positive
api,0.037531746086361166,positive
microservices,-0.029771498811058974,negative
user,0.029370929947732688,positive
used,0.028217869135519102,positive
currency,-0.026925011257061437,negative
enough,0.020902570575666416,positive
allow,0.020758058011690915,positive
form,0.018946977019985902,positive
simple,0.018164132725497755,positive
pricing,0.018026424932581574,positive
