Fidelity,Jaccard,Stability,model,sample_id
0.8354,0.5789,0.5789,concat_fusion,26
0.9205,0.3636,0.3636,concat_fusion,29
0.8989,0.7647,0.7647,concat_fusion,31
0.9053,0.3636,0.3636,concat_fusion,0
0.7602,0.5789,0.5789,concat_fusion,35
0.9171,0.5789,0.5789,average_fusion,26
0.9454,0.3043,0.3043,average_fusion,29
0.8281,0.875,0.875,average_fusion,31
0.8317,0.3043,0.3043,average_fusion,0
0.7787,0.7647,0.7647,average_fusion,35
0.8542,0.5789,0.5789,weighted_fusion,26
0.923,0.4286,0.4286,weighted_fusion,29
0.828,0.7647,0.7647,weighted_fusion,31
0.8881,0.2,0.2,weighted_fusion,0
0.901,0.6667,0.6667,weighted_fusion,35
0.9371,0.5789,0.5789,gating_fusion,26
0.8753,0.25,0.25,gating_fusion,29
0.9375,0.875,0.875,gating_fusion,31
0.8861,0.25,0.25,gating_fusion,0
0.676,0.6667,0.6667,gating_fusion,35
