Token,Score,Direction
api,2.9727083007751656,positive
image,2.0733733906220033,positive
service,1.739311907316478,positive
socialevents,1.3800053956866876,positive
imagga,1.3367798400051463,positive
provides,1.3272603412687234,positive
cloud,1.3241826439816902,positive
data,1.1347300692151951,positive
intrinio,1.1329418720096887,positive
user,1.04638001910088,positive
photo,1.0363734046655537,positive
shiftmail,1.0213369407985624,positive
databasereplication,0.9447033851187072,positive
travel,0.9007101435429988,positive
shephertz,0.8595936107886359,positive
