Token,Score,Direction
api,2.9542256252695966,positive
image,2.179654469115205,positive
cloud,1.6449216050233924,positive
service,1.481419908557724,positive
socialevents,1.2915685684882554,positive
data,1.2083613710217973,positive
travel,1.0913754086540834,positive
photo,0.9895617137215282,positive
provides,0.987932105668247,positive
imagga,0.9831568634868926,positive
email,0.9745886833254742,positive
user,0.9474377486161166,positive
shephertz,0.9047663247077793,positive
shiftmail,0.902392710428785,positive
search,0.8707812008668273,positive
