Token,Score,Direction
data,0.03573016996961087,positive
xml,0.033122857101261616,positive
formatted,0.032217553816735744,positive
international,0.03007442783564329,positive
web,0.028499254141934216,positive
service,0.025308202137239277,positive
functionality,-0.022012204630300403,negative
office,-0.02017835946753621,negative
product,-0.01694016414694488,negative
staple,0.013812249177135527,positive
exposing,0.011266111745499074,positive
catalog,0.011266111745499074,positive
category,0.006904941285029054,positive
detail,0.006904941285029054,positive
api,0.006852025398984551,positive
