Token,Score,Direction
storage,0.14381852894439362,positive
api,0.08904628012533067,positive
document,0.07921564030402806,positive
offer,0.03788656221877318,positive
delete,0.02420608390821144,positive
microservices,-0.016293859494908247,negative
user,-0.016293859494908247,negative
friendly,-0.016293859494908247,negative
replace,0.01593995763687417,positive
create,0.0155908043961972,positive
credit,-0.013052218065907558,negative
used,-0.012813285378797445,negative
explorer,-0.012813285378797445,negative
service,0.011905993880645838,positive
function,0.011668686303892173,positive
