Token,Score,Direction
socialsecure,0.503480960498564,positive
social,0.20188465233447708,positive
community,0.19286168238613755,positive
secured,-0.11543839574071833,negative
participation,0.10491226019803435,positive
protection,0.08025057020131499,positive
networking,0.05420432596954263,positive
secure,-0.05212943835861304,negative
safety,0.04694795717351195,positive
offer,-0.04336060688365251,negative
involvement,-0.03985272590282627,negative
engagement,0.021199146190404215,positive
api,0.021179026807658374,positive
system,-0.01823814401304293,negative
security,0.012124302759978244,positive
