Token,SHAP_Value,Base_Value,Model,Category
messaging,0.08273335168778431,0.1601394903336768,average_fusion,Messaging
bulk,0.08270362264011055,0.1601394903336768,average_fusion,Messaging
receiving,0.08057066036417382,0.1601394903336768,average_fusion,Messaging
gateway,0.04890286815643776,0.1601394903336768,average_fusion,Messaging
api,-0.048491822388314176,0.1601394903336768,average_fusion,Messaging
sending,0.03813179565622704,0.1601394903336768,average_fusion,Messaging
multi,0.0371819302381482,0.1601394903336768,average_fusion,Messaging
channel,0.0371819302381482,0.1601394903336768,average_fusion,Messaging
mass,0.0371819302381482,0.1601394903336768,average_fusion,Messaging
broadcast,0.0371819302381482,0.1601394903336768,average_fusion,Messaging
service,0.03638277919235406,0.1601394903336768,average_fusion,Messaging
custom,0.033830483531346545,0.1601394903336768,average_fusion,Messaging
voice,0.033830483531346545,0.1601394903336768,average_fusion,Messaging
geo,0.033830483531346545,0.1601394903336768,average_fusion,Messaging
enables,0.02776604879181832,0.1601394903336768,average_fusion,Messaging
