Token,SHAP_Value,Base_Value,Model,Category
pay,0.27850057753676083,0.002363781677559018,average_fusion,Payments
automatically,0.1116821849354892,0.002363781677559018,average_fusion,Payments
account,0.10647156458435347,0.002363781677559018,average_fusion,Payments
user,0.07529336687730392,0.002363781677559018,average_fusion,Payments
rent,-0.05901783894660184,0.002363781677559018,average_fusion,Payments
application,0.03062161051135403,0.002363781677559018,average_fusion,Payments
thing,0.02260521320567932,0.002363781677559018,average_fusion,Payments
access,0.019423285782977473,0.002363781677559018,average_fusion,Payments
integrate,0.019226683587476145,0.002363781677559018,average_fusion,Payments
functionality,0.019226683587476145,0.002363781677559018,average_fusion,Payments
developer,0.018972701366538575,0.002363781677559018,average_fusion,Payments
mobile,0.013466797267028596,0.002363781677559018,average_fusion,Payments
zipmark,0.011966412367865605,0.002363781677559018,average_fusion,Payments
allows,0.010065188660519198,0.002363781677559018,average_fusion,Payments
public,0.00966848547726001,0.002363781677559018,average_fusion,Payments
