Token,SHAP_Value,Base_Value,Model,Category
socialsecure,0.6065124159358675,0.0029303047340363264,average_fusion,Social
social,0.2108629894673041,0.0029303047340363264,average_fusion,Social
community,0.10780213949328754,0.0029303047340363264,average_fusion,Social
api,0.07828681533283088,0.0029303047340363264,average_fusion,Social
participation,0.048521125412662514,0.0029303047340363264,average_fusion,Social
protection,0.04702219676983077,0.0029303047340363264,average_fusion,Social
secured,-0.03913867579566696,0.0029303047340363264,average_fusion,Social
security,-0.03172908861332954,0.0029303047340363264,average_fusion,Social
feature,-0.02358033392837652,0.0029303047340363264,average_fusion,Social
engagement,0.01602607766372702,0.0029303047340363264,average_fusion,Social
safety,-0.013843227354686172,0.0029303047340363264,average_fusion,Social
offer,-0.008339365434949286,0.0029303047340363264,average_fusion,Social
networking,0.007430616987138902,0.0029303047340363264,average_fusion,Social
secure,-0.004526102941864254,0.0029303047340363264,average_fusion,Social
involvement,-0.004464088136129166,0.0029303047340363264,average_fusion,Social
