Token,SHAP_Value,Base_Value,Model,Category
storage,0.1255939924158156,0.05878834680618075,average_fusion,Storage
api,0.08122962101333542,0.05878834680618075,average_fusion,Storage
document,0.06473674607696012,0.05878834680618075,average_fusion,Storage
offer,0.03930073301307857,0.05878834680618075,average_fusion,Storage
create,0.019915576151106507,0.05878834680618075,average_fusion,Storage
replace,0.019915576151106507,0.05878834680618075,average_fusion,Storage
delete,0.019915576151106507,0.05878834680618075,average_fusion,Storage
nanosdk,0.019627297117949638,0.05878834680618075,average_fusion,Storage
credit,-0.014286475123268853,0.05878834680618075,average_fusion,Storage
service,0.012799309559341054,0.05878834680618075,average_fusion,Storage
function,0.012342511035967618,0.05878834680618075,average_fusion,Storage
allow,0.012342511035967618,0.05878834680618075,average_fusion,Storage
retrieve,0.012342511035967618,0.05878834680618075,average_fusion,Storage
used,-0.009809677947487216,0.05878834680618075,average_fusion,Storage
explorer,-0.009809677947487216,0.05878834680618075,average_fusion,Storage
