Token,SHAP_Value,Base_Value,Model,Category
data,0.03573016996961087,0.1088741371058859,average_fusion,eCommerce
xml,0.033122857101261616,0.1088741371058859,average_fusion,eCommerce
formatted,0.032217553816735744,0.1088741371058859,average_fusion,eCommerce
international,0.03007442783564329,0.1088741371058859,average_fusion,eCommerce
web,0.028499254141934216,0.1088741371058859,average_fusion,eCommerce
service,0.025308202137239277,0.1088741371058859,average_fusion,eCommerce
functionality,-0.022012204630300403,0.1088741371058859,average_fusion,eCommerce
office,-0.02017835946753621,0.1088741371058859,average_fusion,eCommerce
product,-0.01694016414694488,0.1088741371058859,average_fusion,eCommerce
staple,0.013812249177135527,0.1088741371058859,average_fusion,eCommerce
exposing,0.011266111745499074,0.1088741371058859,average_fusion,eCommerce
catalog,0.011266111745499074,0.1088741371058859,average_fusion,eCommerce
category,0.006904941285029054,0.1088741371058859,average_fusion,eCommerce
detail,0.006904941285029054,0.1088741371058859,average_fusion,eCommerce
api,0.006852025398984551,0.1088741371058859,average_fusion,eCommerce
