Token,SHAP_Value,Base_Value,Model,Category
receiving,0.07950839948898647,0.1263402932236204,concat_fusion,Messaging
sending,0.06546805369725917,0.1263402932236204,concat_fusion,Messaging
service,0.05001330963204964,0.1263402932236204,concat_fusion,Messaging
oventus,0.049701278872817056,0.1263402932236204,concat_fusion,Messaging
messaging,0.04714260673063109,0.1263402932236204,concat_fusion,Messaging
enables,0.037114991806447506,0.1263402932236204,concat_fusion,Messaging
bulk,0.037114991806447506,0.1263402932236204,concat_fusion,Messaging
gateway,0.032859501348866615,0.1263402932236204,concat_fusion,Messaging
mobile,0.022925321143702604,0.1263402932236204,concat_fusion,Messaging
using,-0.019852225133945467,0.1263402932236204,concat_fusion,Messaging
provides,0.019726622274902184,0.1263402932236204,concat_fusion,Messaging
web,0.019726622274902184,0.1263402932236204,concat_fusion,Messaging
pageone,-0.017617619370867033,0.1263402932236204,concat_fusion,Messaging
api,0.015009821239800658,0.1263402932236204,concat_fusion,Messaging
requesting,0.011800609427154996,0.1263402932236204,concat_fusion,Messaging
