Token,SHAP_Value,Base_Value,Model,Category
socialsecure,0.6082259939576034,0.007464772555977106,concat_fusion,Social
social,0.2670977059844352,0.007464772555977106,concat_fusion,Social
secured,-0.09618936354474333,0.007464772555977106,concat_fusion,Social
community,0.08928481055772863,0.007464772555977106,concat_fusion,Social
participation,0.06833196719526313,0.007464772555977106,concat_fusion,Social
involvement,-0.05182768780452369,0.007464772555977106,concat_fusion,Social
protection,0.05021182922064327,0.007464772555977106,concat_fusion,Social
api,0.03611551228095777,0.007464772555977106,concat_fusion,Social
networking,0.02637036471622361,0.007464772555977106,concat_fusion,Social
offer,0.007278705335920677,0.007464772555977106,concat_fusion,Social
feature,-0.006389666164812463,0.007464772555977106,concat_fusion,Social
system,-0.005487686671117307,0.007464772555977106,concat_fusion,Social
security,-0.0036661123647883705,0.007464772555977106,concat_fusion,Social
enhancement,-0.003572698890352375,0.007464772555977106,concat_fusion,Social
engagement,0.0022481134166644715,0.007464772555977106,concat_fusion,Social
