Token,SHAP_Value,Base_Value,Model,Category
pay,0.32330729030582006,0.0006199228228069842,gating_fusion,Payments
automatically,0.13266143141481734,0.0006199228228069842,gating_fusion,Payments
account,0.11847079437393404,0.0006199228228069842,gating_fusion,Payments
user,0.07328767016770144,0.0006199228228069842,gating_fusion,Payments
thing,0.07301143182485248,0.0006199228228069842,gating_fusion,Payments
allows,0.01364660050967359,0.0006199228228069842,gating_fusion,Payments
developer,0.012316696512089737,0.0006199228228069842,gating_fusion,Payments
online,-0.012004119695120608,0.0006199228228069842,gating_fusion,Payments
rent,-0.010829293549249996,0.0006199228228069842,gating_fusion,Payments
access,0.008982416153230588,0.0006199228228069842,gating_fusion,Payments
integrate,0.008982416153230588,0.0006199228228069842,gating_fusion,Payments
functionality,0.008982416153230588,0.0006199228228069842,gating_fusion,Payments
api,0.005162400417248136,0.0006199228228069842,gating_fusion,Payments
bill,0.0042081704286829336,0.0006199228228069842,gating_fusion,Payments
interested,0.00333428035885915,0.0006199228228069842,gating_fusion,Payments
