Token,SHAP_Value,Base_Value,Model,Category
socialsecure,0.5647514816591865,0.001935782260261476,gating_fusion,Social
social,0.2540925489523612,0.001935782260261476,gating_fusion,Social
community,0.14564562563464278,0.001935782260261476,gating_fusion,Social
secured,-0.0884343860995035,0.001935782260261476,gating_fusion,Social
participation,0.05532598365243757,0.001935782260261476,gating_fusion,Social
api,0.05520306171820266,0.001935782260261476,gating_fusion,Social
networking,0.04472777990337239,0.001935782260261476,gating_fusion,Social
protection,0.038440747281129006,0.001935782260261476,gating_fusion,Social
involvement,-0.0344754411231737,0.001935782260261476,gating_fusion,Social
safety,-0.019283607610277337,0.001935782260261476,gating_fusion,Social
feature,-0.012528298087669431,0.001935782260261476,gating_fusion,Social
security,-0.008672529743886447,0.001935782260261476,gating_fusion,Social
offer,0.008609048883954529,0.001935782260261476,gating_fusion,Social
secure,-0.007516118635645729,0.001935782260261476,gating_fusion,Social
engagement,0.00617873735278739,0.001935782260261476,gating_fusion,Social
